Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,29.0,32.5,26.5,29.5,29.5,16664
2012-07-01,31.0,43.5,31.0,40.0,40.0,19064
2012-08-01,40.0,42.5,35.0,37.5,37.5,5010
2012-09-01,35.0,35.5,25.5,33.0,33.0,5838
2012-10-01,28.5,37.5,28.5,34.0,34.0,19674
2012-11-01,35.0,35.0,28.299999237060547,32.5,32.5,5440
2012-12-01,33.79999923706055,39.0,33.599998474121094,37.099998474121094,37.099998474121094,18420
2013-01-01,36.29999923706055,37.099998474121094,29.0,31.899999618530273,31.899999618530273,11200
2013-02-01,32.20000076293945,34.599998474121094,29.649999618530273,34.5,34.5,6960
2013-03-01,34.5,34.5,31.75,31.75,31.75,2120
2013-04-01,31.75,31.75,24.75,29.850000381469727,29.850000381469727,3640
2013-05-01,29.850000381469727,30.549999237060547,28.75,30.25,30.25,3780
2013-06-01,29.850000381469727,30.0,27.100000381469727,29.649999618530273,29.649999618530273,1420
2013-07-01,29.649999618530273,37.75,27.200000762939453,35.0,35.0,29380
2013-08-01,35.0,35.0,27.549999237060547,30.399999618530273,30.399999618530273,3700
2013-09-01,31.049999237060547,31.049999237060547,24.5,26.649999618530273,26.649999618530273,1600
2013-10-01,26.649999618530273,28.75,17.600000381469727,26.75,26.75,12280
2013-11-01,26.75,26.75,15.449999809265137,19.0,19.0,6840
2013-12-01,20.0,20.0,10.75,14.5,14.5,39800
2014-01-01,14.5,19.75,13.5,18.399999618530273,18.399999618530273,71060
2014-02-01,17.149999618530273,23.5,17.149999618530273,20.200000762939453,20.200000762939453,44840
2014-03-01,19.899999618530273,20.299999237060547,17.049999237060547,18.200000762939453,18.200000762939453,17820
2014-04-01,18.200000762939453,25.200000762939453,16.350000381469727,16.600000381469727,16.600000381469727,74560
2014-05-01,16.600000381469727,19.649999618530273,9.649999618530273,14.0,14.0,26180
2014-06-01,14.0,18.799999237060547,12.350000381469727,15.300000190734863,15.300000190734863,16020
2014-07-01,13.850000381469727,17.600000381469727,13.850000381469727,16.200000762939453,16.200000762939453,30560
2014-08-01,14.050000190734863,16.399999618530273,10.300000190734863,11.550000190734863,11.550000190734863,11900
2014-09-01,11.5,11.899999618530273,8.5,8.5,8.5,16100
2014-10-01,8.399999618530273,25.0,7.75,8.0,8.0,446400
2014-11-01,9.25,13.649999618530273,8.800000190734863,11.350000381469727,11.350000381469727,64260
2014-12-01,11.5,13.5,9.399999618530273,9.899999618530273,9.899999618530273,52640
2015-01-01,9.850000381469727,11.100000381469727,8.350000381469727,10.0,10.0,19940
2015-02-01,9.649999618530273,14.350000381469727,9.600000381469727,11.75,11.75,99080
2015-03-01,11.0,13.25,10.149999618530273,11.5,11.5,56920
2015-04-01,11.5,12.5,10.550000190734863,10.949999809265137,10.949999809265137,54780
